ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치
005930,삼성전자,2026-05-29,317000,매도,44.7,44.7,34.2,21.1,69.8,89%
000660,SK하이닉스,2026-05-29,2333000,매수,68.6,25.5,6.0,68.6,81.4,95%
005380,현대차,2026-05-29,723000,매도,37.3,37.3,32.7,29.9,66.0,86%
035420,NAVER,2026-05-29,234000,관망,37.3,35.6,37.3,27.1,66.1,125%
051910,LG화학,2026-05-29,367000,매도,67.4,67.4,19.5,13.2,50.2,39%
006400,삼성SDI,2026-05-29,688000,매수,41.6,39.1,19.4,41.6,63.6,72%
035720,카카오,2026-05-29,41950,매도,81.6,81.6,12.3,6.1,41.8,33%
000270,기아,2026-05-29,169200,매도,53.5,53.5,22.0,24.5,55.1,67%
105560,KB금융,2026-05-29,150600,매수,49.2,35.1,15.7,49.2,42.8,13%
055550,신한지주,2026-05-29,93600,관망,38.8,33.9,38.8,27.3,43.3,19%
