ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-18,362500,매수,43.2,31.6,25.2,43.2,65.6,92%,370318.36344506405,270781.63655493595,21378.668509785417
000660,SK하이닉스,2026-06-18,2685000,매수,56.0,20.1,23.8,56.0,72.0,105%,2636708.123007179,1756791.8769928212,165272.06573597094
005380,현대차,2026-06-18,601000,매도,39.3,39.3,22.6,38.1,44.3,19%,750345.6737535504,564854.3262464496,46238.0249330544
035420,NAVER,2026-06-18,235000,관망,39.0,29.3,39.0,31.7,50.7,50%,291190.87460058386,179739.1253994161,21697.4611194651
051910,LG화학,2026-06-18,342500,매수,63.0,19.6,17.4,63.0,46.4,45%,375730.7790174187,315269.2209825813,21837.243504378344
006400,삼성SDI,2026-06-18,522000,매수,55.1,24.7,20.2,55.1,40.8,25%,700384.4788552627,462015.5211447373,41159.56379965899
035720,카카오,2026-06-18,39300,관망,53.1,20.6,53.1,26.3,40.5,23%,43186.227334721545,38153.772665278455,2140.245711600184
000270,기아,2026-06-18,158800,관망,38.8,32.2,38.8,29.0,46.7,29%,175120.36521159235,152119.63478840765,9072.616584387762
105560,KB금융,2026-06-18,163100,관망,37.9,34.2,37.9,27.9,53.6,67%,172131.09094810206,144378.90905189794,8815.481741218082
055550,신한지주,2026-06-18,100800,관망,43.9,23.9,43.9,32.2,52.4,63%,107330.63489778372,89689.36510221628,5280.391870476276
012330,현대모비스,2026-06-18,603000,매도,42.5,42.5,25.7,31.8,48.8,30%,787562.8172133554,524037.18278664455,59589.23515984725
028260,삼성물산,2026-06-18,485500,매수,45.6,33.3,21.1,45.6,59.6,76%,525928.3933242365,359421.6066757635,41494.90900934251
066570,LG전자,2026-06-18,228500,관망,44.5,19.0,44.5,36.4,48.9,36%,364640.3240472571,153559.67595274292,31947.70510982163
003550,LG,2026-06-18,109900,관망,45.2,14.3,45.2,40.4,47.0,32%,150143.58472052988,90916.41527947014,11485.709044822264
017670,SK텔레콤,2026-06-18,95900,매수,45.2,19.1,35.6,45.2,43.7,18%,116777.80141661696,91252.19858338304,7412.6610875953
030200,KT,2026-06-18,53500,관망,59.4,11.2,59.4,29.4,42.7,32%,58099.70412906226,51340.29587093774,2314.1446677275094
096770,SK이노베이션,2026-06-18,103500,매수,50.3,18.1,31.6,50.3,35.9,13%,125390.17011424826,100259.82988575174,6438.62912693487
011200,HMM,2026-06-18,20450,관망,46.0,30.1,46.0,23.9,51.9,63%,21900.832305226773,17983.167694773227,992.8915000558744
010950,S-Oil,2026-06-18,105100,관망,55.9,14.2,55.9,30.0,40.6,7%,115471.10703343544,104268.89296656456,5830.601834660854
086790,하나금융지주,2026-06-18,126100,관망,56.0,17.7,56.0,26.4,55.3,79%,130382.88792377696,109647.11207622304,6354.846922015435
069500,KODEX 200,2026-06-18,146945,매수,44.9,25.6,29.5,44.9,67.6,96%,148393.3442635916,114215.1557364084,6876.733409510953
229200,KODEX 코스닥150,2026-06-18,17650,관망,43.2,25.9,43.2,30.9,45.7,38%,20168.7261787034,16075.7738212966,966.9403526572994
305720,KODEX 2차전지산업,2026-06-18,17055,매수,37.5,28.4,34.0,37.5,41.3,26%,20782.86793970781,15717.132060292191,1005.915438457434
091160,KODEX 반도체,2026-06-18,182500,매수,44.7,17.1,38.2,44.7,67.1,101%,181998.0399878276,141616.9600121724,9538.706920204664
139220,KODEX IT,2026-06-18,9055,관망,47.5,13.7,47.5,38.8,50.0,56%,10000.108671308462,7840.391328691537,638.9221102261411
114800,KODEX 인버스,2026-06-18,861,매수,52.1,32.9,15.1,52.1,31.1,6%,1136.9979536009505,843.8020463990495,58.64552934380417
252670,KODEX 200선물인버스2X,2026-06-18,64,매수,66.4,21.1,12.5,66.4,29.9,9%,115.61324778288554,58.98675221711446,11.834327065825352
148020,KODEX 헬스케어,2026-06-18,147765,매수,36.4,34.7,28.9,36.4,67.4,95%,149535.88125791284,114982.11874208716,6983.367586159335
364980,KODEX 수소경제,2026-06-18,11210,관망,36.2,33.7,36.2,30.0,41.8,26%,13654.22371967149,10334.27628032851,673.1867993359982
379800,KODEX 미국S&P500,2026-06-18,25830,관망,72.0,15.6,72.0,12.4,62.5,66%,26227.244753329152,25071.755246670848,261.24503638174605
AAPL,애플,2026-06-18,298,관망,56.4,21.1,56.4,22.5,51.0,33%,318.96092900242894,287.834075270032,7.088062088994012
MSFT,MS,2026-06-18,379,관망,40.8,30.2,40.8,29.0,35.0,11%,456.3821296733023,369.91486434525234,11.908554961417876
