feature,importance
bb_width,0.071545385
atr14,0.04850366
close,0.041049503
close_ma60_ratio,0.04099793
bb_upper,0.040024035
low,0.039527804
ret_1d,0.038452286
close_ma5_ratio,0.038415797
bb_lower,0.0382376
ret_5d,0.03770924
ma5,0.037392426
ma60,0.03678308
macd,0.036473643
high,0.03605807
ret_3d,0.036040932
volume,0.035667226
bb_mid,0.03542534
close_ma20_ratio,0.035280976
open,0.03527377
rsi14,0.035229966
vol_ma20,0.035175316
vol_ratio,0.035068735
ma20,0.034772526
macd_signal,0.034388643
macd_hist,0.033464048
ma5_ma20_ratio,0.033042185
